App,Ver,Date,Notes
CAR PROBLEMS AND REPAIRS,2.6.4,"Mar 14, 2022",Bug fixes.
CAR PROBLEMS AND REPAIRS,2.6.2,"May 5, 2021",Performance improvements.
CAR PROBLEMS AND REPAIRS,2.6.0,"Mar 17, 2021",Performance improvements.
CAR PROBLEMS AND REPAIRS,2.5,"Feb 19, 2021",New levels & features!
CAR PROBLEMS AND REPAIRS,2.4.5,"Jan 28, 2021",New levels!
CAR PROBLEMS AND REPAIRS,2.4.4,"Jan 23, 2021",Icon change & new features!
CAR PROBLEMS AND REPAIRS,2.4.3,"Jan 20, 2021",Bug fixes.
CAR PROBLEMS AND REPAIRS,2.4.2,"Jan 16, 2021",Visual improvements and bug fixes.
CAR PROBLEMS AND REPAIRS,2.4.1,"Jan 10, 2021",Bug fixes.
CAR PROBLEMS AND REPAIRS,2.4.0,"Jan 3, 2021",New levels!
CAR PROBLEMS AND REPAIRS,2.3.4,"Dec 20, 2020",Bug fixes.
CAR PROBLEMS AND REPAIRS,2.3.3,"Dec 20, 2020",This update comes with new cars and parts!
CAR PROBLEMS AND REPAIRS,2.3.2,"Dec 17, 2020",Performance improvements.
CAR PROBLEMS AND REPAIRS,2.3.1,"Dec 11, 2020",New cars and parts come with this update!
CAR PROBLEMS AND REPAIRS,2.3.0,"Dec 11, 2020",New cars and parts come with this update!
CAR PROBLEMS AND REPAIRS,2.2.7,"Dec 4, 2020",New icon!
CAR PROBLEMS AND REPAIRS,2.2.6,"Nov 27, 2020",Bug fixes!
CAR PROBLEMS AND REPAIRS,2.2.5,"Nov 27, 2020",Bug fixes.
CAR PROBLEMS AND REPAIRS,2.2.4,"Nov 21, 2020",New levels!
CAR PROBLEMS AND REPAIRS,2.2.3,"Nov 9, 2020",New challenge: Time events! Race against the clock and complete repairs on time to get the ultimate price!
CAR PROBLEMS AND REPAIRS,2.2.1,"Nov 2, 2020",Level improvements!
CAR PROBLEMS AND REPAIRS,2.2.0,"Oct 24, 2020",New mechanic and reward system come with this update!
CAR PROBLEMS AND REPAIRS,2.1.9,"Oct 15, 2020",New features and performance improvements!
CAR PROBLEMS AND REPAIRS,2.1.7,"Oct 8, 2020",Performance improvements!
CAR PROBLEMS AND REPAIRS,2.1.6,"Sep 26, 2020",Minor bug fixes.