,category,app_id,title,score,genre,price,free,currency,developer,installs,Length,Updatability,Updatability for Major Rel,Pattern
0,automotive,com.google.android.projection.gearhead,Android Auto,4.1779814,Auto & Vehicles,0.0,True,INR,Google LLC,"1,000,000,000+",36.0,1.0,1.0,1.0
1,automotive,com.carwale,CarWale: Buy-Sell New/Used Car,4.6235895,Auto & Vehicles,0.0,True,INR,CarTrade Tech Limited,"5,000,000+",70.83333333333334,8.333333333333332,8.333333333333332,6.0
2,automotive,gomechanic.retail,GoMechanic Car Services & More,4.3657813,Auto & Vehicles,0.0,True,INR,"Car Services, Repairs, Auto Spares & Accessories","5,000,000+",95.83333333333334,4.166666666666666,4.166666666666666,4.0
3,automotive,com.howacarworks,How a Car Works,3.768116,Books & Reference,0.0,True,INR,Cogniso Limited,"50,000+",100.0,11.11111111111111,11.11111111111111,4.0
4,automotive,com.cuvora.carinfo,RTO Vehicle Information App,4.5556927,Maps & Navigation,0.0,True,INR,Car Info,"10,000,000+",79.16666666666666,8.333333333333332,4.166666666666666,6.0
5,automotive,mrigapps.andriod.fuelcons,Simply Auto: Car Maintenance &,4.5,Auto & Vehicles,0.0,True,INR,Mobifolio,"500,000+",45.83333333333333,8.333333333333332,8.333333333333332,3.0
6,automotive,com.playway.cms2017,Car Mechanic Simulator 21,4.243612,Simulation,0.0,True,INR,Digital Melody Games,"10,000,000+",66.66666666666666,8.333333333333332,8.333333333333332,6.0
7,automotive,com.andromo.dev420527.app606734,CAR PROBLEMS AND REPAIRS,4.117647,Auto & Vehicles,0.0,True,INR,Ephiema,"1,000,000+",43.47826086956522,8.695652173913043,8.695652173913043,3.0
8,automotive,com.autolauncher.motorcar.free,Car Launcher,4.296943,Auto & Vehicles,0.0,True,INR,apps lab studio,"1,000,000+",87.5,4.166666666666666,4.166666666666666,4.0
9,automotive,com.zenthek.autozen,AutoZen-Car Dashboard&Launcher,4.0,Auto & Vehicles,0.0,True,INR,ZenThek,"100,000+",37.5,0.0,0.0,1.0
10,automotive,com.telenav.launcher,VIVID Car Launcher,4.35,Auto & Vehicles,0.0,True,INR,VIVIDTeam,"50,000+",100.0,4.166666666666666,4.166666666666666,4.0
11,automotive,com.futureband.cars,Cars Catalog: all about auto,4.0,Auto & Vehicles,0.0,True,INR,Future Band Studio,"100,000+",58.333333333333336,8.333333333333332,8.333333333333332,3.0
12,automotive,air.com.A3dtuning.Tuning3D,3DTuning: Car Game & Simulator,4.0763006,Simulation,0.0,True,INR,3DTuning,"10,000,000+",79.16666666666666,4.166666666666666,4.166666666666666,6.0
13,automotive,com.soft24hours.dictionaries.dictionary27,Auto parts. Guide,4.25,Auto & Vehicles,0.0,True,INR,Anna Voronich,"500,000+",80.0,20.0,20.0,2.0
14,automotive,br.com.ctncardoso.ctncar,Drivvo - car management,4.576087,Auto & Vehicles,0.0,True,INR,Drivvo,"1,000,000+",87.5,4.166666666666666,4.166666666666666,4.0
15,automotive,com.SGS.DrivingSchoolGames.RealCarParkingSimulator,Car Driving School : Car Games,3.8798666,Strategy,0.0,True,INR,Spark Game Studios,"50,000,000+",100.0,4.166666666666666,4.166666666666666,4.0
16,automotive,com.edictonary.Automotive.Dictionary,Automotive Dictionary,4.285714,Books & Reference,0.0,True,INR,E-Dictionary,"10,000+",54.166666666666664,4.166666666666666,4.166666666666666,3.0
17,automotive,com.cardesign.new3dtuning.truckmodifying,"Car Design, 3D Tuning, Modify",3.1792452,Productivity,0.0,True,INR,Edge Techno,"100,000+",100.0,4.166666666666666,4.166666666666666,4.0
18,automotive,com.keyconnect.android,KeyConnect Digital Car Key,3.990196,Auto & Vehicles,0.0,True,INR,Apponfire,"100,000+",72.72727272727273,18.181818181818183,18.181818181818183,2.0
19,automotive,com.AutoRepairInvoice,ARI (Auto Repair Software),4.054945,Auto & Vehicles,0.0,True,INR,uMobCo,"100,000+",91.66666666666666,8.333333333333332,4.166666666666666,4.0
20,automotive,com.girnarsoft.cardekho,CarDekho: Buy NewCar/Sell Used,4.5414343,Auto & Vehicles,0.0,True,INR,Girnar Software Pvt. Ltd.,"10,000,000+",62.5,8.333333333333332,4.166666666666666,6.0
21,automotive,com.softartstudio.carwebguru,CarWebGuru Car Launcher,3.85,Auto & Vehicles,0.0,True,INR,SoftArtStudio,"1,000,000+",20.833333333333336,4.166666666666666,4.166666666666666,1.0
22,automotive,com.autonews.crain,Automotive News,0.0,News & Magazines,0.0,True,INR,Automotive News,"5,000+",100.0,22.22222222222222,22.22222222222222,2.0
23,automotive,com.vehicle.rto.vahan.status.information.register,RTO Vehicle Information,4.431443,Auto & Vehicles,0.0,True,INR,Vahan Registration Details - Vehicle Owner Details,"50,000,000+",70.83333333333334,4.166666666666666,4.166666666666666,6.0
24,automotive,com.formacar.android,Formacar 3D Tuning & Ecosystem,3.88,Entertainment,0.0,True,INR,Formacar FZCO,"1,000,000+",100.0,5.555555555555555,5.555555555555555,4.0
25,automotive,com.DominikKotlarEULC,European Luxury Cars,4.428837,Racing,0.0,True,INR,DMNK Studio,"10,000,000+",100.0,50.0,50.0,5.0
26,automotive,gomechanic.spares,GoMechanic Spares - Car Parts,3.44317,Auto & Vehicles,0.0,True,INR,"Car Services, Repairs, Auto Spares & Accessories","1,000,000+",95.83333333333334,4.166666666666666,4.166666666666666,4.0
27,automotive,org.eobdfacile.android,EOBD Facile: OBD 2 Car Scanner,4.14,Auto & Vehicles,0.0,True,INR,Outils OBD Facile,"5,000,000+",79.16666666666666,8.333333333333332,8.333333333333332,6.0
28,automotive,com.zymbia.carpm_mechanic,GaragePro Car OBD2 Scanner,4.0120845,Auto & Vehicles,0.0,True,INR,CaRPM,"500,000+",100.0,4.166666666666666,4.166666666666666,4.0
29,automotive,com.kineapps.mycar,My Car - Car Management,4.242424,Auto & Vehicles,0.0,True,INR,KineApps Ltd,"100,000+",95.83333333333334,4.166666666666666,4.166666666666666,4.0
